RxDevice,FileID,TxDevice,GenTime,FileMsgCount,GpsEpochTime,TxRandom,MsgCount,DSecond,Latitude,Longitude,Elevation,Speed,Heading,Ax,Ay,Az,Yawrate,CountPathPoints,RadiusOfCurve,Confidence,EventFlag,SemiMajor,SemiMinor,Orientation,SteerAngle,TransState,WhlBrkUnkn,WhlBrkLF,WhlBrkLR,WhlBrkRF,WhlBrkRR,Width,Length,EtcActive,AbsActive,EscActive,BrakeBstActive,AuxBrakesActive
3000,55,3000,606553151201021,28,1679468351.2010219,40542,88,11250,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553151303442,29,1679468351.303442,40542,89,11350,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553151398402,30,1679468351.398402,40542,90,11449,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553151495923,31,1679468351.495923,40542,91,11550,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553151596888,32,1679468351.5968881,40542,92,11649,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553151691973,33,1679468351.691973,40542,93,11750,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553151796912,34,1679468351.796912,40542,94,11850,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553151900412,35,1679468351.9004121,40542,95,11949,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152000413,36,1679468352.0004139,40542,96,12050,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152095060,37,1679468352.0950601,40542,97,12149,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152199374,38,1679468352.199374,40542,98,12250,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152303245,39,1679468352.3032451,40542,99,12350,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152404010,40,1679468352.4040101,40542,100,12449,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152501149,41,1679468352.5011499,40542,101,12550,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152599082,42,1679468352.599082,40542,102,12649,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152697932,43,1679468352.697932,40542,103,12750,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152796957,44,1679468352.796957,40542,104,12850,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553152901995,45,1679468352.9019959,40542,105,12949,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153002130,46,1679468353.00213,40542,106,13050,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153103984,47,1679468353.1039841,40542,107,13149,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153203012,48,1679468353.203012,40542,108,13250,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153305165,49,1679468353.3051651,40542,109,13350,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153409301,50,1679468353.409301,40542,110,13449,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153508910,51,1679468353.5089109,40542,111,13550,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153607109,52,1679468353.6071091,40542,112,13649,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153702138,53,1679468353.7021389,40542,113,13750,17.601762099999998,78.126558799999998,459.10001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153801966,54,1679468353.8019669,40542,114,13850,17.601762799999999,78.126558299999999,457.60001,0.02,4.0999999,0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553153902015,55,1679468353.902015,40542,115,13949,17.601762900000001,78.126558299999999,457.60001,0.02,4.0999999,0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154004487,56,1679468354.004487,40542,116,14050,17.601762900000001,78.126558299999999,457.60001,0.02,4.0999999,0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154103075,57,1679468354.103075,40542,117,14149,17.601762900000001,78.126558299999999,457.60001,0.02,4.0999999,0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154199176,58,1679468354.1991761,40542,118,14250,17.601762900000001,78.126558299999999,457.60001,0.02,4.0999999,0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154295146,59,1679468354.295146,40542,119,14299,17.601763200000001,78.126559200000003,457.20001,0.02,4.0999999,2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154393343,60,1679468354.3933439,40542,120,14399,17.601763200000001,78.126559200000003,457.20001,0.02,4.0999999,2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154488151,61,1679468354.4881511,40542,121,14499,17.601763200000001,78.126559200000003,457.20001,0.02,4.0999999,2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154586618,62,1679468354.5866189,40542,122,14600,17.601763200000001,78.126559200000003,457.20001,0.02,4.0999999,2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154686924,63,1679468354.686924,40542,123,14750,17.601763299999998,78.126559200000003,457.20001,0.02,4.0999999,2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154788120,64,1679468354.78812,40542,124,14850,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154891051,65,1679468354.8910511,40542,125,14949,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553154994129,66,1679468354.9941289,40542,126,15050,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553155098012,67,1679468355.0980129,40542,127,15149,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553155203272,68,1679468355.2032721,40542,0,15250,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-0.02,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553155306979,69,1679468355.3069789,40542,1,15350,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553155409912,70,1679468355.4099121,40542,2,15449,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553155504982,71,1679468355.504982,40542,3,15550,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553155599929,72,1679468355.5999291,40542,4,15649,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553155701172,73,1679468355.7011721,40542,5,15750,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,-2.9999999E-2,0,-2.54,0,15,32767,100,0,5.0000001E-2,5.0000001E-2,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553155806021,74,1679468355.8060219,40542,6,15850,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553155901099,75,1679468355.9010999,40542,7,15949,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156002134,76,1679468356.0021341,40542,8,16050,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156102168,77,1679468356.1021681,40542,9,16149,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156206991,78,1679468356.2069919,40542,10,16250,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156311538,79,1679468356.3115389,40542,11,16350,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156414997,80,1679468356.4149971,40542,12,16449,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156519952,81,1679468356.5199521,40542,13,16550,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156624383,82,1679468356.624383,40542,14,16649,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156727258,83,1679468356.7272589,40542,15,16750,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156832180,84,1679468356.83218,40542,16,16850,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553156929050,85,1679468356.92905,40542,17,16949,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157030241,86,1679468357.030241,40542,18,17050,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157125400,87,1679468357.1254001,40542,19,17149,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157226248,88,1679468357.226248,40542,20,17250,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157331178,89,1679468357.3311789,40542,21,17350,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157428278,90,1679468357.4282789,40542,22,17449,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157533073,91,1679468357.5330739,40542,23,17550,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157633032,92,1679468357.6330321,40542,24,17699,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157730989,93,1679468357.730989,40542,25,17750,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157831132,94,1679468357.8311329,40542,26,17850,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553157930116,95,1679468357.9301169,40542,27,17949,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553158027940,96,1679468358.02794,40542,28,18050,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
3000,55,3000,606553158125582,97,1679468358.1255829,40542,29,18149,17.601763099999999,78.126559200000003,457.20001,0,4.0999999,0,0,-2.54,0,15,32767,100,0,0,0,2.7466239E-2,190.5,7,0,0,0,0,1,185,471,0,0,0,0,0
